epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1375.56,0.98115,0.44806,1.17668,0.69288,0.65428,0.74768,0.2094,1.50097,14.3803,1.72102,0.0009605,0.0009605,0.0009605
44,1407.58,0.99427,0.45462,1.19506,0.45864,0.99972,0.56006,0.2742,1.10473,19.0163,1.30559,0.00093575,0.00093575,0.00093575
45,1438.74,0.97494,0.45117,1.18305,0.42408,0.97199,0.56288,0.26669,1.17533,18.4595,1.34254,0.000911,0.000911,0.000911
46,1469.41,0.94057,0.43241,1.16794,0.62517,0.96738,0.67058,0.32441,1.09785,15.786,1.31742,0.00088625,0.00088625,0.00088625
47,1501.58,0.9568,0.43134,1.16369,0.48083,0.96,0.67246,0.30685,1.17285,20.8094,1.36911,0.0008615,0.0008615,0.0008615
48,1532.96,0.95536,0.4333,1.1646,0.47232,0.98,0.57082,0.28873,1.13175,17.8812,1.31086,0.00083675,0.00083675,0.00083675
49,1563.89,0.94208,0.43792,1.17605,0.53125,0.77,0.67939,0.28873,1.23571,15.7368,1.37665,0.000812,0.000812,0.000812
50,1594.93,0.9343,0.42513,1.17527,0.49874,1,0.6162,0.30167,1.17987,20.289,1.42828,0.00078725,0.00078725,0.00078725
51,1627.39,0.94952,0.42478,1.18047,0.39575,0.89,0.48265,0.23963,1.02921,13.0672,1.2172,0.0007625,0.0007625,0.0007625
52,1658.33,0.91748,0.41639,1.16788,0.42244,0.76,0.48643,0.218,1.25218,15.8804,1.43917,0.00073775,0.00073775,0.00073775
53,1689.5,0.92791,0.42829,1.17033,0.42034,0.95,0.51196,0.22262,1.21383,19.7409,1.3988,0.000713,0.000713,0.000713
54,1720.73,0.89543,0.40733,1.1499,0.60511,0.84,0.77107,0.34039,1.19889,15.2317,1.42739,0.00068825,0.00068825,0.00068825
55,1752.41,0.92613,0.41806,1.16277,0.44458,0.94,0.62878,0.30394,1.11775,14.0874,1.33057,0.0006635,0.0006635,0.0006635
56,1783.45,0.91111,0.41726,1.15865,0.55296,0.97,0.7465,0.28805,1.257,16.2032,1.4841,0.00063875,0.00063875,0.00063875
57,1814.49,0.87969,0.40154,1.13598,0.51526,0.98,0.75162,0.3405,1.10187,22.0895,1.34667,0.000614,0.000614,0.000614
58,1846.29,0.89848,0.39533,1.15326,0.50702,1,0.68807,0.34886,1.11785,16.9953,1.31514,0.00058925,0.00058925,0.00058925
59,1878.4,0.88745,0.40195,1.14392,0.41663,0.82,0.53448,0.25332,1.30307,16.3667,1.39898,0.0005645,0.0005645,0.0005645
60,1909.52,0.88801,0.40073,1.13465,0.43472,0.87,0.45827,0.19082,1.24196,13.511,1.32768,0.00053975,0.00053975,0.00053975
61,1940.82,0.85667,0.38659,1.12208,0.41947,0.79,0.58566,0.26623,1.22726,20.0842,1.33235,0.000515,0.000515,0.000515
62,1973.25,0.88019,0.39151,1.14342,0.58279,0.95,0.71369,0.30071,1.28391,15.3024,1.49447,0.00049025,0.00049025,0.00049025
63,2004.49,0.88784,0.39491,1.13561,0.63825,0.65,0.77531,0.34774,1.12328,12.8023,1.42597,0.0004655,0.0004655,0.0004655
64,2035.75,0.85818,0.38711,1.12785,0.6818,0.79,0.86136,0.37607,1.12478,18.6265,1.40309,0.00044075,0.00044075,0.00044075
65,2066.99,0.85427,0.3785,1.1234,0.48257,0.91,0.69412,0.3536,1.09193,22.3181,1.35205,0.000416,0.000416,0.000416
66,2099.45,0.85532,0.38851,1.12504,0.50943,0.95,0.75115,0.38732,1.08062,16.211,1.35409,0.00039125,0.00039125,0.00039125
67,2130.52,0.8735,0.38336,1.1404,0.5383,0.93,0.77147,0.34767,1.14996,20.4369,1.41943,0.0003665,0.0003665,0.0003665
68,2161.61,0.831,0.37437,1.1191,0.61661,0.94892,0.71447,0.37621,1.07964,18.4292,1.37334,0.00034175,0.00034175,0.00034175
69,2192.52,0.83503,0.37397,1.12031,0.60608,0.95394,0.73099,0.36897,1.12026,18.2376,1.33765,0.000317,0.000317,0.000317
70,2224.82,0.82023,0.37094,1.10869,0.54696,0.94,0.77478,0.33581,1.16423,19.8749,1.40949,0.00029225,0.00029225,0.00029225
71,2256.55,0.80292,0.33652,1.16819,0.60991,0.98,0.82148,0.39444,1.10774,13.4049,1.36965,0.0002675,0.0002675,0.0002675
72,2287.19,0.80162,0.33967,1.18018,0.60999,0.93,0.83586,0.37074,1.14269,16.2659,1.39363,0.00024275,0.00024275,0.00024275
73,2318.29,0.78277,0.32836,1.18219,0.60071,0.94,0.79389,0.38716,1.08185,15.675,1.33816,0.000218,0.000218,0.000218
74,2350.15,0.79569,0.32478,1.18009,0.61621,0.93,0.84066,0.34962,1.13742,17.8173,1.36855,0.00019325,0.00019325,0.00019325
75,2381.05,0.78232,0.32113,1.16169,0.59598,0.93,0.77252,0.35337,1.15056,20.9033,1.47078,0.0001685,0.0001685,0.0001685
76,2412.25,0.76468,0.31624,1.16807,0.54606,0.97,0.74144,0.36545,1.13577,18.8639,1.38912,0.00014375,0.00014375,0.00014375
77,2444.21,0.74882,0.3042,1.14048,0.58935,0.92,0.79966,0.38234,1.1184,18.0295,1.36885,0.000119,0.000119,0.000119
78,2475.76,0.75115,0.31418,1.16068,0.54365,0.94,0.79554,0.37431,1.12181,15.2871,1.3483,9.425e-05,9.425e-05,9.425e-05
79,2506.41,0.74916,0.30874,1.14603,0.56127,0.95,0.78212,0.35991,1.11411,15.0701,1.33746,6.95e-05,6.95e-05,6.95e-05
80,2537.04,0.74621,0.30087,1.13368,0.54351,0.95252,0.77202,0.3603,1.12362,16.0642,1.34124,4.475e-05,4.475e-05,4.475e-05
